question,answer,group,bm25_text
How can I change my password?,You can reset your password online via the MyUC sign-in area or by visiting the password reset [page](https://passwordreset.canberra.edu.au/).,1.0,how can i change my password
How do I reset my password?,You can reset your password online via the MyUC sign-in area or by visiting the password reset [page](https://passwordreset.canberra.edu.au/).,1.0,how do i reset my password
Is there a specific link or URL I should use to access the password reset page?,You can reset your password online via the MyUC sign-in area or by visiting the password reset [page](https://passwordreset.canberra.edu.au/).,1.0,is there a specific link or url i should use to access the password reset page
How can I update my password?,You can reset your password online via the MyUC sign-in area or by visiting the password reset [page](https://passwordreset.canberra.edu.au/).,1.0,how can i update my password
I would like to reset my password,You can reset your password online via the MyUC sign-in area or by visiting the password reset [page](https://passwordreset.canberra.edu.au/).,1.0,i would like to reset my password
I forgot my login details,You can reset your password online via the MyUC sign-in area or by visiting the password reset [page](https://passwordreset.canberra.edu.au/).,1.0,i forgot my login details
Is there any way to recover my password?,You can reset your password online via the MyUC sign-in area or by visiting the password reset [page](https://passwordreset.canberra.edu.au/).,1.0,is there any way to recover my password
How do I choose a safe password?,"To keep your password safe and secure, you shouldn’t choose:

- a single dictionary word, common term or phrase
- your name, phone number, date of birth or other identifying information
- personal information, such as your car registration, maiden name, address or names of children, relatives or pets
- duplicated characters (e.g. aaabbbccc) or keyboard patterns (e.g. 123; qwerty)
- a password you use for another system or website
- one similar to a previous UC user account password you’ve used.
Stay cyber safe with these password tips:

- Choose a password you can either type by memory or securely access through a password manager.
- If you have trouble remembering your password, online password management systems such as LastPass, 1Password, Keeper or Bitwarden can help you store it securely.
- Never share your password with anyone, including friends and family, as you can be held responsible for actions carried out by someone who has used your account.
- Don’t save your password in your web browser.
- Never include your password in an email message.
- Never write your password down, especially near your computer.
- Always lock your computer whenever you step away to prevent others from accessing your account.",2.0,how do i choose a safe password
How can I ensure that my password is strong and secure?,"To keep your password safe and secure, you shouldn’t choose:

- a single dictionary word, common term or phrase
- your name, phone number, date of birth or other identifying information
- personal information, such as your car registration, maiden name, address or names of children, relatives or pets
- duplicated characters (e.g. aaabbbccc) or keyboard patterns (e.g. 123; qwerty)
- a password you use for another system or website
- one similar to a previous UC user account password you’ve used.
Stay cyber safe with these password tips:

- Choose a password you can either type by memory or securely access through a password manager.
- If you have trouble remembering your password, online password management systems such as LastPass, 1Password, Keeper or Bitwarden can help you store it securely.
- Never share your password with anyone, including friends and family, as you can be held responsible for actions carried out by someone who has used your account.
- Don’t save your password in your web browser.
- Never include your password in an email message.
- Never write your password down, especially near your computer.
- Always lock your computer whenever you step away to prevent others from accessing your account.",2.0,how can i ensure that my password is strong and secure
Are there any common mistakes to avoid when choosing a password,"To keep your password safe and secure, you shouldn’t choose:

- a single dictionary word, common term or phrase
- your name, phone number, date of birth or other identifying information
- personal information, such as your car registration, maiden name, address or names of children, relatives or pets
- duplicated characters (e.g. aaabbbccc) or keyboard patterns (e.g. 123; qwerty)
- a password you use for another system or website
- one similar to a previous UC user account password you’ve used.
Stay cyber safe with these password tips:

- Choose a password you can either type by memory or securely access through a password manager.
- If you have trouble remembering your password, online password management systems such as LastPass, 1Password, Keeper or Bitwarden can help you store it securely.
- Never share your password with anyone, including friends and family, as you can be held responsible for actions carried out by someone who has used your account.
- Don’t save your password in your web browser.
- Never include your password in an email message.
- Never write your password down, especially near your computer.
- Always lock your computer whenever you step away to prevent others from accessing your account.",2.0,are there any common mistakes to avoid when choosing a password
